"timestep","time"
0,0.100000001
1,0.8125
2,1.277199984
3,1.522799969
4,2.099400043
5,2.629100084
6,3.263799906
7,3.524300098
8,4.118599892
9,4.582699776
10,5.119699955
11,5.545400143
12,6.048099995
13,6.552400112
14,7.051000118
15,7.504600048
16,8.002699852
17,8.540200233
18,9.004500389
19,9.514900208
20,10.01399994
21,10.52900028
22,11.04500008
23,11.50800037
24,12.02600002
25,12.50699997
26,13.02400017
27,13.51200008
28,14.02700043
29,14.51900005
30,15.01200008
31,15.53299999
32,16.02099991
33,16.50499916
34,17.04000092
35,17.50699997
36,18.03199959
37,18.52199936
38,19.02599907
39,19.50300026
40,20.03800011
41,20.51499939
42,21.00900078
43,21.53800011
44,22.01499939
45,22.53000069
46,23.02300072
47,23.52899933
48,24.01000023
49,24.51799965
50,25.03199959
51,25.52700043
52,26.03499985
53,26.5340004
54,27
55,27.50600052
56,28.01000023
57,28.50799942
58,29.02599907
59,29.52700043
60,30.03000069
61,30.52300072
62,31.00799942
63,31.52300072
64,32.02500153
65,32.50600052
66,33.00899887
67,33.52600098
68,34.0019989
69,34.52600098
70,35.01900101
71,35.53099823
72,36.02799988
73,36.5019989
74,37.02500153
75,37.51699829
76,38.00899887
77,38.51900101
78,39.02199936
79,39.51399994
80,40.01399994
81,40.5019989
82,41.00699997
83,41.5019989
84,42.00999832
85,42.51300049
86,43.01599884
87,43.5019989
88,44.00500107
89,44.51100159
90,45.02000046
91,45.52099991
92,46.00600052
93,46.5
94,47.01900101
95,47.51200104
96,48.00099945
97,48.50699997
98,49.00899887
99,49.50099945
100,50.01200104
101,50.51300049
102,51.00099945
103,51.50899887
104,52.00099945
105,52.51200104
106,53.01200104
107,53.50500107
108,54.00799942
109,54.50600052
110,55.00299835
111,55.50799942
112,56.00299835
113,56.50799942
114,57.0019989
115,57.50299835
116,58
117,58.50099945
118,59.00099945
119,59.50299835
120,60.0019989
