 "timestep","time"
0,0.100000001
1,0.8125
2,1.318799973
3,1.549700022
4,2.233500004
5,2.778800011
6,3.055099964
7,3.537100077
8,4.091100216
9,4.520500183
10,5.082499981
11,5.557499886
12,6.042200089
13,6.529300213
14,7.033899784
15,7.542399883
16,8.004899979
17,8.505299568
18,9.043499947
19,9.538299561
20,10.00300026
21,10.50599957
22,11.0010004
23,11.54899979
24,12.03800011
25,12.51399994
26,13.02400017
27,13.51599979
28,14.01000023
29,14.53100014
30,15.00899982
31,15.53299999
32,16.00799942
33,16.51499939
34,17.01399994
35,17.50399971
36,18.00600052
37,18.50200081
38,19.00699997
39,19.51600075
40,20.04599953
41,20.5189991
42,21.00900078
43,21.50300026
44,22.02400017
45,22.52300072
46,23.00499916
47,23.52499962
48,24.00699997
49,24.52099991
50,25.03199959
51,25.50600052
52,26
53,26.51499939
54,27.01799965
55,27.51399994
56,28.00099945
57,28.51399994
58,29.02300072
59,29.50300026
60,30.03000069
61,30.51499939
62,31.01199913
63,31.52899933
64,32.02199936
65,32.52999878
66,33.01300049
67,33.51900101
68,34.03099823
69,34.50600052
70,35.01599884
71,35.50500107
72,36.00400162
73,36.50500107
74,37.01900101
75,37.51200104
76,38.00899887
77,38.52700043
78,39.00299835
79,39.52099991
80,40.00699997
81,40.5019989
82,41.02399826
83,41.51699829
84,42.01300049
85,42.50600052
86,43.01499939
87,43.52099991
88,44.02700043
89,44.51599884
90,45.00299835
91,45.50999832
92,46.01900101
93,46.50299835
94,47.00799942
95,47.5
96,48.00600052
97,48.50999832
98,49.00400162
99,49.52299881
100,50.01499939
101,50.51300049
102,51.00999832
103,51.50600052
104,52.01499939
105,52.50500107
106,53.00999832
107,53.51300049
108,54.00500107
109,54.51599884
110,55.01100159
111,55.51300049
112,56.00400162
113,56.50600052
114,57.01499939
115,57.52000046
116,58.02600098
117,58.50099945
118,59.00899887
119,59.50899887
120,60.00500107
