timestep,time
0,0.100000001
1,0.8125
2,1.318799973
3,1.578099966
4,2.188299894
5,2.70449996
6,3.229700089
7,3.658400059
8,4.03000021
9,4.615300179
10,5.055799961
11,5.568399906
12,6.013800144
13,6.533400059
14,7.01429987
15,7.511000156
16,8.013899803
17,8.53219986
18,9.001700401
19,9.543600082
20,10.02099991
21,10.51099968
22,11.01099968
23,11.54800034
24,12.05000019
25,12.50500011
26,13.04699993
27,13.53100014
28,14.0010004
29,14.52099991
30,15.02200031
31,15.52099991
32,16.02000046
33,16.52599907
34,17.03800011
35,17.52899933
36,18.00099945
37,18.53700066
38,19.00099945
39,19.53100014
40,20.03199959
41,20.51600075
42,21.03100014
43,21.52700043
44,22.02799988
45,22.52599907
46,23.01499939
47,23.52000046
48,24.0340004
49,24.52499962
50,25.03000069
51,25.52899933
52,26.03199959
53,26.50799942
54,27.03000069
55,27.51199913
56,28.02099991
57,28.51300049
58,29.00200081
59,29.52199936
60,30.00900078
61,30.51600075
62,31.01300049
63,31.52799988
64,32.02099991
65,32.52600098
66,33.01599884
67,33.5340004
68,34.01800156
69,34.51800156
70,35.02500153
71,35.52700043
72,36.03300095
73,36.52700043
74,37.03099823
75,37.5340004
76,38.03300095
77,38.52999878
78,39.00299835
79,39.51100159
80,40.01800156
81,40.50899887
82,41.01499939
83,41.51200104
84,42.01599884
85,42.51699829
86,43.01800156
87,43.50799942
88,44.02299881
89,44.51800156
90,45.02500153
91,45.50999832
92,46.02000046
93,46.51599884
94,47.00099945
95,47.50500107
96,48.00799942
97,48.50799942
98,49.0019989
99,49.52600098
100,50.01399994
101,50.50500107
102,51.02399826
103,51.50999832
104,52.00299835
105,52.51499939
106,53.00999832
107,53.51200104
108,54.03099823
109,54.50400162
110,55.01900101
111,55.50500107
112,56.00899887
113,56.51599884
114,57.01100159
115,57.5019989
116,58.02199936
117,58.50600052
118,59.00699997
119,59.52500153
120,60.00400162
