"timestep","time"
0,0.10000000149
1,0.8125
2,1.296200037
3,1.785099983
4,2.127500057
5,2.659800053
6,3.14350009
7,3.558700085
8,4.093100071
9,4.520999908
10,5.079299927
11,5.552100182
12,6.02820015
13,6.557099819
14,7.026599884
15,7.509399891
16,8.015600204
17,8.514800072
18,9.038100243
19,9.51570034
20,10.03600025
21,10.52700043
22,11.02200031
23,11.53800011
24,12.02999973
25,12.5010004
26,13.04399967
27,13.53499985
28,14.03800011
29,14.50599957
30,15.01500034
31,15.52900028
32,16.02400017
33,16.53700066
34,17.0189991
35,17.52400017
36,18.01499939
37,18.53100014
38,19.00699997
39,19.51099968
40,20.00900078
41,20.51499939
42,21.04199982
43,21.53800011
44,22.00499916
45,22.50499916
46,23.00799942
47,23.52700043
48,24.00099945
49,24.52599907
50,25.0170002
51,25.51499939
52,26.0359993
53,26.53800011
54,27.03700066
55,27.52499962
56,28.01499939
57,28.5340004
58,29.00399971
59,29.50399971
60,30.00600052
61,30.52000046
62,31.03100014
63,31.5189991
64,32.00999832
65,32.52799988
66,33.00400162
67,33.50799942
68,34.00299835
69,34.51900101
70,35.00899887
71,35.51599884
72,36.02000046
73,36.50899887
74,37.01800156
75,37.52299881
76,38.00400162
77,38.52199936
78,39.01900101
79,39.52899933
80,40.00500107
81,40.50999832
82,41.02399826
83,41.52299881
84,42.00899887
85,42.51100159
86,43.02799988
87,43.52600098
88,44.0019989
89,44.52000046
90,45.00899887
91,45.51300049
92,46.02600098
93,46.51200104
94,47.02799988
95,47.52099991
96,48.01599884
97,48.51399994
98,49.01499939
99,49.52299881
100,50.01800156
101,50.50999832
102,51.01200104
103,51.50600052
104,52.00899887
105,52.51399994
106,53.00999832
107,53.52199936
108,54.02000046
109,54.52500153
110,55.01599884
111,55.51300049
112,56.01100159
113,56.51200104
114,57.01599884
115,57.51200104
116,58.01399994
117,58.50600052
118,59.00500107
119,59.50099945
120,60.01100159
